name,location,holes,course_type
Shore Gate Golf Club,"Ocean View, NJ",18,Public
Glenwood Country Club,"Old Bridge, NJ",18,Private
Old Tappan Golf Course,"Old Tappan, NJ",9,Private
Hackensack Golf Club,"Oradell, NJ",18,Private
Arcola Country Club,"Paramus, NJ",18,Private
"Center/West Course at Ridgewood Country Club, The","Paramus, NJ",27,Private
Orchard Hills Golf Club,"Paramus, NJ",9,Public
Paramus Golf Course,"Paramus, NJ",18,Public
"Knoll East Country Club, The","Parsippany, NJ",18,Public
Mount Tabor Country Club,"Parsippany-Troy Hills, NJ",9,Private
Pennsauken Country Club,"Pennsauken, NJ",18,Semi-private
"Architects Golf Club, The","Phillipsburg, NJ",18,Public
Harkers Hollow Golf Club,"Phillipsburg, NJ",18,Private
Picatinny Golf Club,"Picatinny Arsenal, NJ",18,Military
Pine Hill Golf Club,"Pine Hill, NJ",18,Semi-private
Fairway Golf Center,"Piscataway Township, NJ",9,Public
Raritan Landing Golf Course,"Piscataway Township, NJ",18,Public
Rutgers University Golf Course,"Piscataway Township, NJ",18,Public
Plainfield Country Club,"Plainfield, NJ",18,Private
"Meadows at Middlesex, The","Plainsboro, NJ",18,Public
Sunset Valley Golf Course,"Pompton Plains, NJ",18,Public
Bunker Hill Golf Course,"Princeton, NJ",18,Public
Princeton Country Club,"Princeton, NJ",18,Public
Springdale Golf Club,"Princeton, NJ",18,Private
TPC at Jasna Polana,"Princeton, NJ",18,Private
Cranbury Golf Club,"Princeton Junction, NJ",18,Semi-private
East Course at Mercer Oaks Golf Course,"Princeton Junction, NJ",36,Public
Ramsey Golf & Country Club,"Ramsey, NJ",18,Private
Raritan Valley Country Club,"Raritan, NJ",18,Private
Navesink Country Club,"Red Bank, NJ",18,Public
Copper Hill Country Club,"Ringoes, NJ",18,Private
Heron Glen Golf Course,"Ringoes, NJ",18,Public
Heron Glen Golf Course,"Ringoes, NJ",18,Public
"Ridge at Back Brook, The","Ringoes, NJ",18,Private
Bergen Hills Country Club,"River Vale, NJ",18,Public
Blue/White Course at Edgewood Country Club,"River Vale, NJ",27,Private
Valley Brook Golf Club,"River Vale, NJ",18,Public
Riverton Country Club,"Riverton, NJ",18,Private
Hawk Pointe Golf Course,"Robbinsville, NJ",18,Semi-private
Green Pond Golf Club,"Rockaway, NJ",9,Public
Blue/Blue Course at Rockleigh Golf Course,"Rockleigh, NJ",27,Public
Fernwood Country Club,"Roseland, NJ",9,Public
Roselle Golf Club,"Roselle, NJ",9,Private
Rossmoor Golf Course,"Rossmoor, NJ",18,Private
Rumson Golf Club,"Rumson, NJ",18,Private
Country Club of Salem,"Salem, NJ",9,Private
White Cedar/Pin Oaks Course at Wild Oaks Golf Club,"Salem, NJ",27,Public
Culver Lake Golf Course,"Sandyston, NJ",9,Public
Ash Brook Golf Course,"Scotch Plains, NJ",18,Public
Scotch Hills Country Club,"Scotch Plains, NJ",9,Public
Shackamaxon Golf & Country Club,"Scotch Plains, NJ",18,Private
Maple Ridge Golf Club,"Sewell, NJ",18,Public
Pitman Golf Course,"Sewell, NJ",18,Public
East Orange Golf Course,"Short Hills, NJ",18,Semi-private
Millburn Municipal Golf Course,"Short Hills, NJ",9,Private
Freeway Golf Course,"Sicklerville, NJ",18,Public
"Bedens Brook Club, The","Skillman, NJ",18,Private
Cherry Valley Country Club,"Skillman, NJ",18,Private
Greate Bay Golf Club,"Somers Point, NJ",18,Private
Quail Brook Golf Course,"Somerset, NJ",18,Public
Spooky Brook Golf Course,"Somerset, NJ",18,Public
Tara Greens Golf Center,"Somerset, NJ",9,Public
Fox Hollow Golf Club,"Somerville, NJ",18,Private
Roycebrook Golf Club -East,"Somerville, NJ",18,Semi-Private
Plainfield West Nine,"South Plainfield, NJ",9,Semi-Private
Lake Mohawk Golf Club,"Sparta, NJ",18,Private
Lakewood Country Club,"Sparta, NJ",18,Semi-private
Skyview Golf Club,"Sparta, NJ",18,Semi-private
Spring Lake Golf Club,"Spring Lake Heights, NJ",18,Private
Lower Course at Baltusrol Golf Club,"Springfield, NJ",36,Private
Lake Lackawanna Golf Course,"Stanhope, NJ",9,Public
North Course at Canoe Brook Country Club,"Summit, NJ",36,Private
Blue/White Course at Beckett Golf Club,"Swedesboro, NJ",27,Public
Overpeck County Golf Course,"Teaneck, NJ",18,Public
Knickerbocker Country Club,"Tenafly, NJ",18,Private
RiverWinds Golf Club,"Thorofare, NJ",18,Public
Bey Lea Municipal Golf Course,"Toms River, NJ",18,Public
Four Seasons Spa & Country Club,"Toms River, NJ",9,Private
Toms River Country Club,"Toms River, NJ",9,Private
Falcon Creek Golf Course,"Trenton, NJ",18,Military
Miry Run Country Club,"Trenton, NJ",18,Semi-private
Trenton Country Club,"Trenton, NJ",18,Private
Ocean County Golf Course at Atlantis,"Tuckerton, NJ",18,Public
Sea Oaks Golf Club,"Tuckerton, NJ",18,Semi-private
Wedgwood Country Club,"Turnersville, NJ",18,Semi-private
Eighteen Hole Course at Galloping Hill Golf Course,"Union, NJ",27,Public
Suburban Golf Club,"Union, NJ",18,Private
Lake/Quarry Course at Great Gorge Golf Club,"Vernon, NJ",27,Public
Ponderlodge,"Villas, NJ",18,Semi-private
Eastlyn Golf Course,"Vineland, NJ",18,Public
Latona Country Club,"Vineland, NJ",9,Public
Kresson Golf Club,"Voorhees Township, NJ",18,Public
Colonial Terrace Golf Course,"Wanamassa, NJ",9,Public
Warrenbrook Golf Course,"Warren, NJ",18,Public
Fairway Valley Golf Club,"Washington, NJ",9,Public
Twin Brooks Country Club,"Watchung, NJ",18,Private
Blue Course at Passaic County Golf Course,"Wayne, NJ",36,Public
North Jersey Country Club,"Wayne, NJ",18,Private
Packanack Golf Club,"Wayne, NJ",9,Private
Preakness Hills Country Club,"Wayne, NJ",18,Private
Maple Ridge Golf Club,"Wenonah, NJ",18,Public
Mountain Ridge Country Club,"West Caldwell, NJ",18,Private
Crestmont Country Club,"West Orange, NJ",18,null
Essex County Country Club,"West Orange, NJ",18,Private
First Nine Course at Montclair Golf Club,"West Orange, NJ",36,Private
Francis Byrne Golf Course,"West Orange, NJ",18,Public
Rock Spring Club,"West Orange, NJ",18,Private
Echo Lake Country Club,"Westfield, NJ",18,Private
Anchor Golf Land,"Whippany, NJ",18,Public
Stanton Ridge Golf & Country Club,"Whitehouse Station, NJ",18,Private
Scotland Run Golf Club,"Williamstown, NJ",18,Public
Rancocas Golf Club,"Willingboro, NJ",18,Public
Westwood Golf Club,"Woodbury, NJ",18,Public
Woodbury Country Club,"Woodbury, NJ",9,Private
Hanover Country Club,"Wrightstown, NJ",18,Public
